"","tipo_trabalho","proportion","proportion_se","total","total_se","mes"
"1","Empregado",0.590798607902767,0.00256842189990911,39324252.4832079,353005.907587274,"maio"
"2","Empregador",0.0409911020600936,0.00110233872072804,2728416.12253994,76951.7868980014,"maio"
"3","Trabalhador por conta própria",0.368210290037139,0.00245235058906025,24508511.3922928,213614.866351556,"maio"
"4","Empregado",0.604118074617222,0.00253050860236089,39159027.5072114,347485.876818572,"agosto"
"5","Empregador",0.040680952728506,0.00108044153947688,2636945.67974067,72944.1920114723,"agosto"
"6","Trabalhador por conta própria",0.355200972654272,0.00238387170897834,23024182.2636577,198589.635757137,"agosto"
"7","Empregado",0.604733990149971,0.00252793858425228,40579735.4638225,364851.385898491,"novembro"
"8","Empregador",0.038947562643239,0.00102376862282949,2613515.71892187,70968.4894458848,"novembro"
"9","Trabalhador por conta própria",0.35631844720679,0.00237414645911848,23910196.1590512,205155.206331138,"novembro"
