"","tipo_trabalho","total_homeoffice","total_homeoffice_se","total_trabalho","total_trabalho_se","trab_home","mes"
"1","Empregado",4270871.3566942,108166.584940931,31462046.7483555,302525.268036271,0.135746774227822,"maio"
"2","Empregador",359397.743376922,30289.26723866,2391719.80784837,72359.2201601263,0.150267494627743,"maio"
"3","Trabalhador por conta própria",1278292.08062376,47518.7517235251,18362834.1601846,179906.54530298,0.0696130057851,"maio"
"4","Empregado",3748501.18555543,108425.655178273,36109028.1876014,328594.371225401,0.103810636112398,"agosto"
"5","Empregador",240446.472498017,19327.7865514904,2559031.11447651,71368.8903170936,0.093959964432556,"agosto"
"6","Trabalhador por conta própria",1243832.63579832,44851.5475261761,21770118.1806727,193860.9298881,0.0571348591438783,"agosto"
"7","Empregado",3228652.9649264,102938.326265495,38626473.623847,354075.814963851,0.0835865317752722,"novembro"
"8","Empregador",181451.096643994,17893.407436955,2564820.01048129,70355.1436060389,0.0707461326340575,"novembro"
"9","Trabalhador por conta própria",1059125.35751338,43023.7095870552,23090255.880124,201017.479440872,0.0458689311635162,"novembro"
